month,nums_category_img,count,total,proportion
02,75,2,2875,0.0006956521739130435
02,77,1,2875,0.00034782608695652176
02,79,1,2875,0.00034782608695652176
02,81,7,2875,0.002434782608695652
02,82,2,2875,0.0006956521739130435
02,83,2,2875,0.0006956521739130435
02,84,2,2875,0.0006956521739130435
02,85,1,2875,0.00034782608695652176
02,86,1,2875,0.00034782608695652176
02,88,2,2875,0.0006956521739130435
02,89,2,2875,0.0006956521739130435
02,90,4,2875,0.001391304347826087
02,93,2,2875,0.0006956521739130435
02,94,3,2875,0.0010434782608695651
02,96,4,2875,0.001391304347826087
02,97,5,2875,0.0017391304347826088
03,0,286,4745,0.06027397260273973
03,1,248,4745,0.05226554267650158
03,2,296,4745,0.06238145416227608
03,3,160,4745,0.03371970495258166
03,4,384,4745,0.08092729188619599
03,5,122,4745,0.02571127502634352
03,6,279,4745,0.05879873551106428
03,7,174,4745,0.03667017913593256
03,8,130,4745,0.0273972602739726
03,9,345,4745,0.07270811380400422
03,10,207,4745,0.04362486828240253
03,11,202,4745,0.04257112750263435
03,12,167,4745,0.03519494204425711
03,13,175,4745,0.0368809272918862
03,14,204,4745,0.04299262381454162
03,15,146,4745,0.03076923076923077
03,16,166,4745,0.034984193888303476
03,17,384,4745,0.08092729188619599
03,18,262,4745,0.055216016859852474
03,19,233,4745,0.04910432033719705
03,20,3,4745,0.0006322444678609062
03,22,4,4745,0.0008429926238145417
03,23,6,4745,0.0012644889357218123
03,24,2,4745,0.00042149631190727084
03,25,2,4745,0.00042149631190727084
03,26,1,4745,0.00021074815595363542
03,27,1,4745,0.00021074815595363542
03,28,1,4745,0.00021074815595363542
03,29,1,4745,0.00021074815595363542
03,31,1,4745,0.00021074815595363542
03,33,2,4745,0.00042149631190727084
03,34,3,4745,0.0006322444678609062
03,35,2,4745,0.00042149631190727084
03,36,1,4745,0.00021074815595363542
03,37,4,4745,0.0008429926238145417
03,38,4,4745,0.0008429926238145417
03,39,1,4745,0.00021074815595363542
03,41,7,4745,0.0014752370916754477
03,42,1,4745,0.00021074815595363542
03,43,8,4745,0.0016859852476290833
03,44,2,4745,0.00042149631190727084
03,46,1,4745,0.00021074815595363542
03,47,7,4745,0.0014752370916754477
03,48,1,4745,0.00021074815595363542
03,49,1,4745,0.00021074815595363542
03,50,1,4745,0.00021074815595363542
03,51,7,4745,0.0014752370916754477
03,52,6,4745,0.0012644889357218123
03,53,2,4745,0.00042149631190727084
03,54,7,4745,0.0014752370916754477
03,55,3,4745,0.0006322444678609062
03,56,1,4745,0.00021074815595363542
03,57,1,4745,0.00021074815595363542
03,58,1,4745,0.00021074815595363542
03,59,2,4745,0.00042149631190727084
03,60,1,4745,0.00021074815595363542
03,61,2,4745,0.00042149631190727084
