poster_id,post_id,nums_category_img,post_date,post_like,post_collect
5870687f50c4b44ba361428b,663afc91000000001e037aea,15,05-08,178,39
5f0e7aeb000000000101d59e,65858258000000000901d3f8,16,2023-12-22,1344,666
592c72be50c4b47b345a70f0,6602c414000000001203f9a5,1,03-26,141,43
592c72be50c4b47b345a70f0,6602c414000000001203f9a5,1,03-26,141,43
5b6b9854f7e8b91a148aa336,6649a8d600000000050076ab,4,05-19,37,0
61f2192900000000100070b8,65f918cd0000000012021373,13,03-19,190,35
5daf230d0000000001009946,64aea7a7000000002f028fe3,10,2023-07-13,2370,70
5bc7fce62d9b750001ac98e0,656298d5000000003103c83b,12,2023-11-26,344,105
5bc7fce62d9b750001ac98e0,656298d5000000003103c83b,12,2023-11-26,344,105
5bd97a789333970001407645,6500549800000000200019f8,9,2023-09-12,251,73
5c17274b0000000005004762,651cdcfa00000000200004d4,11,2023-10-08,85,50
592c72be50c4b47b345a70f0,6649fb430000000014018e7e,1,05-19,588,162
5f9e1618000000000101ce79,6634a9c3000000001e03aaa7,16,2024-05-03,315,147
57df3ffc50c4b44f636c3a3a,6541cde9000000000403afa9,18,2023-11-01,1063,461
617fb2900000000010007cda,659a16a4000000001200495a,8,01-07,10,10
5c32b1cf000000000603dd87,656d3a0a0000000006020af5,18,2023-12-04,119,38
5c32b1cf000000000603dd87,656d3a0a0000000006020af5,18,2023-12-04,119,38
5c32b1cf000000000603dd87,656d3a0a0000000006020af5,18,2023-12-04,119,38
55ba37e567bc652d2acdc72d,64fe95ca000000002000279a,3,2023-09-11,10,10
5d975024000000000100966b,647df0a40000000013006d86,0,2023-06-05,142,55
592c72be50c4b47b345a70f0,654651ec000000001e00c4b2,1,2023-11-04,10,10
5d975024000000000100966b,65a13ff7000000001e009bb9,4,2024-01-12,37,7
57df3ffc50c4b44f636c3a3a,65f912d10000000014005f85,2,2024-03-19,237,33
56526e4ce4b1cf0da0e3b5e1,65b8bb36000000000202179c,18,01-31,32,12
5d975024000000000100966b,665ab55a00000000050062e0,17,2024-06-01,79,31
6213b096000000001000db1a,65f115dd00000000120239aa,17,03-13,119,34
61e0fb3b0000000010009839,664eafbc0000000014019ca0,5,05-23,36,27
56526e4ce4b1cf0da0e3b5e1,664b17c00000000015012692,4,05-20,196,113
55ba37e567bc652d2acdc72d,64ca20c3000000000b02bbed,4,2023-08-03,798,272
5b7d32c3408dd0000133df33,6634a99b000000001e02d9df,17,2024-05-03,1000,10
5b7d32c3408dd0000133df33,6634a99b000000001e02d9df,17,2024-05-03,1000,10
5f9e1618000000000101ce79,64d8f10c000000000c034134,16,2023-08-13,235,109
5d440885000000001003fb73,665bf3a0000000001303c51d,15,06-02,788,293
59f19270e8ac2b54e5dd9446,6509adb3000000001e020f36,7,2023-09-19,21,5
5e60f1df000000000100a0b6,656567690000000038027a4b,5,2023-11-29,148,47
617fb2900000000010007cda,659770fa000000000f01e94d,8,01-05,10,10
5a8ab60a11be10413f558601,6526778b0000000020002ebd,17,2023-10-11,166,8
55ba37e567bc652d2acdc72d,64d9fc01000000000a018700,0,2023-08-14,1000,10
5c32b1cf000000000603dd87,657672b700000000060223c0,18,2023-12-11,801,233
5e1979350000000001000304,656e995e0000000038029819,1,2023-12-05,361,51
6213b096000000001000db1a,65ade240000000002c015537,17,01-22,253,70
5cc2058b0000000011004f19,65d7ec20000000000102872e,13,02-23,368,49
5cc2058b0000000011004f19,65d7ec20000000000102872e,13,02-23,368,49
61f2192900000000100070b8,660bbec1000000001b009b4b,18,04-02,414,32
592c72be50c4b47b345a70f0,65c767ac000000002c035111,1,02-10,553,111
592c72be50c4b47b345a70f0,65c767ac000000002c035111,1,02-10,553,111
5daf230d0000000001009946,653371cb000000002202faf6,10,2023-10-21,10,10
5f9e1618000000000101ce79,6526448c000000002000021b,0,2023-10-11,3758,497
6016c3da0000000001008367,664ed4cc00000000050060ab,9,06-11,1529,661
5a9c2131e8ac2b202f6954a2,660a8ed7000000001b008282,0,2024-04-01,283,132
5c17274b0000000005004762,649e751800000000130124cc,11,2023-07-01,2261,1008
5aba606911be10295ed87da0,6558964c000000000f024958,7,2023-11-18,502,302
61eff0ac0000000010007090,65fa9c7d0000000013026e2f,0,03-20,1000,10
61eff0ac0000000010007090,65fa9c7d0000000013026e2f,0,03-20,1009,397
61f2192900000000100070b8,64a7c55a000000001201149e,13,2023-07-09,391,111
5a8ab60a11be10413f558601,65b87f9f000000002c0132ab,8,2024-01-30,300,60
5fc645030000000001006e6b,6666f93f000000000c01bcc1,17,06-10,157,44
57df3ffc50c4b44f636c3a3a,649a6115000000000800d40e,2,2023-06-27,682,246
5eca3c6e000000000100153f,6645f0f3000000001e01df30,18,05-16,10,10
5eca3c6e000000000100153f,6645f0f3000000001e01df30,18,05-16,171,84
5eca3c6e000000000100153f,6645f0f3000000001e01df30,18,05-16,171,84
5c6a2350000000001102a014,66435b03000000001e0324fa,7,05-14,180,82
5a8ab60a11be10413f558601,65519e7c000000001f02d80e,17,2023-11-13,1509,247
5c32b1cf000000000603dd87,64bb980900000000100308f4,19,2023-07-22,7464,1263
56e4273e1c07df0bc302b5c4,6486fa9e0000000011010a3f,10,2023-06-12,358,92
5a8ab60a11be10413f558601,649d55e30000000013007d4c,6,2023-06-29,586,108
5a5e0afb11be1017b83be966,6641ff0b000000001e0332e9,6,05-13,256,81
5a5e0afb11be1017b83be966,6641ff0b000000001e0332e9,6,05-13,10,10
5a5e0afb11be1017b83be966,6641ff0b000000001e0332e9,6,05-13,256,81
56e4273e1c07df0bc302b5c4,654b25cb0000000025014803,18,2023-11-08,325,114
5657fe6082ec392034a6fafa,65583d140000000032003104,4,2023-11-18,232,103
5847e03f6a6a6974edfc065e,660508fb0000000012030f53,15,03-28,303,101
5f9e1618000000000101ce79,657452a000000000380371e2,4,2023-12-09,1253,450
5aba606911be10295ed87da0,66208861000000001c00b310,4,2024-04-18,535,69
5f4c99eb0000000001005b17,661f8bf800000000010049f0,0,2024-04-17,8496,3683
5c17274b0000000005004762,665460fb0000000014019c68,11,05-29,818,299
5cb5b2480000000017015acf,65409f1f000000001f03fd4e,12,2023-11-01,105,38
5c0cf8cc000000000602127a,658c1549000000001000de84,9,2023-12-27,6376,354
55ba37e567bc652d2acdc72d,64f0c23c000000001f03c79d,3,2023-09-01,1000,10
617fb2900000000010007cda,652a07770000000023019f1f,8,2023-10-14,10,10
57b1c7915e87e70b6cb5c5a9,66420e0d000000001e032d9a,6,05-14,10,10
5b7d32c3408dd0000133df33,6572fb630000000009026013,17,2023-12-08,10,10
5b7d32c3408dd0000133df33,6572fb630000000009026013,17,2023-12-08,62,17
5bc7fce62d9b750001ac98e0,65f2b267000000001203ce53,4,03-17,195,18
5bc7fce62d9b750001ac98e0,65f2b267000000001203ce53,4,03-17,195,18
5e60e721000000000100771f,65a019dd000000001a02b0d7,14,01-12,67,29
55d0154c58944608aec42707,6667bd3a000000001c0203f5,18,06-11,175,32
55ba37e567bc652d2acdc72d,651ec7be000000001e03142e,8,2023-10-05,10,8
5cc2058b0000000011004f19,6642b2c6000000001e031a02,5,05-14,3154,336
5cc2058b0000000011004f19,6642b2c6000000001e031a02,5,05-14,3154,336
5cc2058b0000000011004f19,6642b2c6000000001e031a02,5,05-14,3154,336
5cc2058b0000000011004f19,6642b2c6000000001e031a02,5,05-14,3154,336
617fb2900000000010007cda,654705840000000025020ca7,8,2023-11-05,782,71
